レコード種別,カラム名,位置,長さ
CH,本年前年累計成績情報_2_中山障害着回数_3,2280,6
CH,本年前年累計成績情報_2_中山障害着回数_4,2286,6
CH,本年前年累計成績情報_2_中山障害着回数_5,2292,6
CH,本年前年累計成績情報_2_中山障害着回数_6,2298,6
CH,本年前年累計成績情報_2_中京平地着回数_1,2304,6
CH,本年前年累計成績情報_2_中京平地着回数_2,2310,6
CH,本年前年累計成績情報_2_中京平地着回数_3,2316,6
CH,本年前年累計成績情報_2_中京平地着回数_4,2322,6
CH,本年前年累計成績情報_2_中京平地着回数_5,2328,6
CH,本年前年累計成績情報_2_中京平地着回数_6,2334,6
CH,本年前年累計成績情報_2_中京障害着回数_1,2340,6
CH,本年前年累計成績情報_2_中京障害着回数_2,2346,6
CH,本年前年累計成績情報_2_中京障害着回数_3,2352,6
CH,本年前年累計成績情報_2_中京障害着回数_4,2358,6
CH,本年前年累計成績情報_2_中京障害着回数_5,2364,6
CH,本年前年累計成績情報_2_中京障害着回数_6,2370,6
CH,本年前年累計成績情報_2_京都平地着回数_1,2376,6
CH,本年前年累計成績情報_2_京都平地着回数_2,2382,6
CH,本年前年累計成績情報_2_京都平地着回数_3,2388,6
CH,本年前年累計成績情報_2_京都平地着回数_4,2394,6
CH,本年前年累計成績情報_2_京都平地着回数_5,2400,6
CH,本年前年累計成績情報_2_京都平地着回数_6,2406,6
CH,本年前年累計成績情報_2_京都障害着回数_1,2412,6
CH,本年前年累計成績情報_2_京都障害着回数_2,2418,6
CH,本年前年累計成績情報_2_京都障害着回数_3,2424,6
CH,本年前年累計成績情報_2_京都障害着回数_4,2430,6
CH,本年前年累計成績情報_2_京都障害着回数_5,2436,6
CH,本年前年累計成績情報_2_京都障害着回数_6,2442,6
CH,本年前年累計成績情報_2_阪神平地着回数_1,2448,6
CH,本年前年累計成績情報_2_阪神平地着回数_2,2454,6
CH,本年前年累計成績情報_2_阪神平地着回数_3,2460,6
CH,本年前年累計成績情報_2_阪神平地着回数_4,2466,6
CH,本年前年累計成績情報_2_阪神平地着回数_5,2472,6
CH,本年前年累計成績情報_2_阪神平地着回数_6,2478,6
CH,本年前年累計成績情報_2_阪神障害着回数_1,2484,6
CH,本年前年累計成績情報_2_阪神障害着回数_2,2490,6
CH,本年前年累計成績情報_2_阪神障害着回数_3,2496,6
CH,本年前年累計成績情報_2_阪神障害着回数_4,2502,6
CH,本年前年累計成績情報_2_阪神障害着回数_5,2508,6
CH,本年前年累計成績情報_2_阪神障害着回数_6,2514,6
CH,本年前年累計成績情報_2_小倉平地着回数_1,2520,6
CH,本年前年累計成績情報_2_小倉平地着回数_2,2526,6
CH,本年前年累計成績情報_2_小倉平地着回数_3,2532,6
CH,本年前年累計成績情報_2_小倉平地着回数_4,2538,6
CH,本年前年累計成績情報_2_小倉平地着回数_5,2544,6
CH,本年前年累計成績情報_2_小倉平地着回数_6,2550,6
CH,本年前年累計成績情報_2_小倉障害着回数_1,2556,6
CH,本年前年累計成績情報_2_小倉障害着回数_2,2562,6
CH,本年前年累計成績情報_2_小倉障害着回数_3,2568,6
CH,本年前年累計成績情報_2_小倉障害着回数_4,2574,6
CH,本年前年累計成績情報_2_小倉障害着回数_5,2580,6
CH,本年前年累計成績情報_2_小倉障害着回数_6,2586,6
CH,本年前年累計成績情報_2_芝16下着回数_1,2592,6
CH,本年前年累計成績情報_2_芝16下着回数_2,2598,6
CH,本年前年累計成績情報_2_芝16下着回数_3,2604,6
CH,本年前年累計成績情報_2_芝16下着回数_4,2610,6
CH,本年前年累計成績情報_2_芝16下着回数_5,2616,6
CH,本年前年累計成績情報_2_芝16下着回数_6,2622,6
CH,本年前年累計成績情報_2_芝22下着回数_1,2628,6
